Date,Nifty
2024-10-31,24205.349609375
2024-11-01,24304.349609375
2024-11-04,23995.349609375
2024-11-05,24213.30078125
2024-11-06,24484.05078125
2024-11-07,24199.349609375
2024-11-08,24148.19921875
2024-11-11,24141.30078125
2024-11-12,23883.44921875
2024-11-13,23559.05078125
2024-11-14,23532.69921875
2024-11-18,23453.80078125
2024-11-19,23518.5
2024-11-21,23349.900390625
2024-11-22,23907.25
2024-11-25,24221.900390625
2024-11-26,24194.5
2024-11-27,24274.900390625
2024-11-28,23914.150390625
2024-11-29,24131.099609375
2024-12-02,24276.05078125
2024-12-03,24457.150390625
2024-12-04,24467.44921875
2024-12-05,24708.400390625
2024-12-06,24677.80078125
2024-12-09,24619.0
2024-12-10,24610.05078125
2024-12-11,24641.80078125
2024-12-12,24548.69921875
2024-12-13,24768.30078125
2024-12-16,24668.25
2024-12-17,24336.0
2024-12-18,24198.849609375
2024-12-19,23951.69921875
2024-12-20,23587.5
2024-12-23,23753.44921875
2024-12-24,23727.650390625
2024-12-26,23750.19921875
2024-12-27,23813.400390625
2024-12-30,23644.900390625
2024-12-31,23644.80078125
2025-01-01,23742.900390625
2025-01-02,24188.650390625
2025-01-03,24004.75
2025-01-06,23616.05078125
2025-01-07,23707.900390625
2025-01-08,23688.94921875
2025-01-09,23526.5
2025-01-10,23431.5
2025-01-13,23085.94921875
2025-01-14,23176.05078125
2025-01-15,23213.19921875
2025-01-16,23311.80078125
2025-01-17,23203.19921875
2025-01-20,23344.75
2025-01-21,23024.650390625
2025-01-22,23155.349609375
2025-01-23,23205.349609375
2025-01-24,23092.19921875
2025-01-27,22829.150390625
2025-01-28,22957.25
2025-01-29,23163.099609375
2025-01-30,23249.5
2025-01-31,23508.400390625
2025-02-01,23482.150390625
2025-02-03,23361.05078125
2025-02-04,23739.25
2025-02-05,23696.30078125
2025-02-06,23603.349609375
2025-02-07,23559.94921875
2025-02-10,23381.599609375
2025-02-11,23071.80078125
2025-02-12,23045.25
2025-02-13,23031.400390625
2025-02-14,22929.25
2025-02-17,22959.5
2025-02-18,22945.30078125
2025-02-19,22932.900390625
2025-02-20,22913.150390625
2025-02-21,22795.900390625
2025-02-24,22553.349609375
2025-02-25,22547.55078125
2025-02-27,22545.05078125
2025-02-28,22124.69921875
2025-03-03,22119.30078125
2025-03-04,22082.650390625
2025-03-05,22337.30078125
2025-03-06,22544.69921875
2025-03-07,22552.5
2025-03-10,22460.30078125
2025-03-11,22497.900390625
2025-03-12,22470.5
2025-03-13,22397.19921875
2025-03-17,22508.75
2025-03-18,22834.30078125
2025-03-19,22907.599609375
2025-03-20,23190.650390625
2025-03-21,23350.400390625
2025-03-24,23658.349609375
2025-03-25,23668.650390625
2025-03-26,23486.849609375
2025-03-27,23591.94921875
2025-03-28,23519.349609375
2025-04-01,23165.69921875
2025-04-02,23332.349609375
2025-04-03,23250.099609375
2025-04-04,22904.44921875
2025-04-07,22161.599609375
2025-04-08,22535.849609375
2025-04-09,22399.150390625
2025-04-11,22828.55078125
2025-04-15,23328.55078125
2025-04-16,23437.19921875
2025-04-17,23851.650390625
2025-04-21,24125.55078125
2025-04-22,24167.25
2025-04-23,24328.94921875
2025-04-24,24246.69921875
2025-04-25,24039.349609375
2025-04-28,24328.5
2025-04-29,24335.94921875
2025-04-30,24334.19921875
2025-05-02,24346.69921875
2025-05-05,24461.150390625
2025-05-06,24379.599609375
2025-05-07,24414.400390625
2025-05-08,24273.80078125
2025-05-09,24008.0
2025-05-12,24924.69921875
2025-05-13,24578.349609375
2025-05-14,24666.900390625
2025-05-15,25062.099609375
2025-05-16,25019.80078125
2025-05-19,24945.44921875
2025-05-20,24683.900390625
2025-05-21,24813.44921875
2025-05-22,24609.69921875
2025-05-23,24853.150390625
2025-05-26,25001.150390625
2025-05-27,24826.19921875
2025-05-28,24752.44921875
2025-05-29,24833.599609375
2025-05-30,24750.69921875
2025-06-02,24716.599609375
2025-06-03,24542.5
2025-06-04,24620.19921875
2025-06-05,24750.900390625
2025-06-06,25003.05078125
2025-06-09,25103.19921875
2025-06-10,25104.25
2025-06-11,25141.400390625
2025-06-12,24888.19921875
2025-06-13,24718.599609375
2025-06-16,24946.5
2025-06-17,24853.400390625
2025-06-18,24812.05078125
2025-06-19,24793.25
2025-06-20,25112.400390625
2025-06-23,24971.900390625
2025-06-24,25044.349609375
2025-06-25,25244.75
2025-06-26,25549.0
2025-06-27,25637.80078125
2025-06-30,25517.05078125
2025-07-01,25541.80078125
2025-07-02,25453.400390625
2025-07-03,25405.30078125
2025-07-04,25461.0
2025-07-07,25461.30078125
2025-07-08,25522.5
2025-07-09,25476.099609375
2025-07-10,25355.25
2025-07-11,25149.849609375
2025-07-14,25082.30078125
2025-07-15,25195.80078125
2025-07-16,25212.05078125
2025-07-17,25111.44921875
2025-07-18,24968.400390625
2025-07-21,25090.69921875
2025-07-22,25060.900390625
2025-07-23,25219.900390625
2025-07-24,25062.099609375
2025-07-25,24837.0
2025-07-28,24680.900390625
2025-07-29,24821.099609375
2025-07-30,24855.05078125
2025-07-31,24768.349609375
2025-08-01,24565.349609375
2025-08-04,24722.75
2025-08-05,24649.55078125
2025-08-06,24574.19921875
2025-08-07,24596.150390625
2025-08-08,24363.30078125
2025-08-11,24585.05078125
2025-08-12,24487.400390625
2025-08-13,24619.349609375
2025-08-14,24631.30078125
2025-08-18,24876.94921875
2025-08-19,24980.650390625
2025-08-20,25050.55078125
2025-08-21,25083.75
2025-08-22,24870.099609375
2025-08-25,24967.75
2025-08-26,24712.05078125
2025-08-28,24500.900390625
2025-08-29,24426.849609375
2025-09-01,24625.05078125
2025-09-02,24579.599609375
2025-09-03,24715.05078125
2025-09-04,24734.30078125
2025-09-05,24741.0
2025-09-08,24773.150390625
2025-09-09,24868.599609375
2025-09-10,24973.099609375
2025-09-11,25005.5
